model,horizon,n,auc,accuracy
ensemble,1,81,0.757,0.7284
logreg,1,81,0.6081,0.6173
naive_majority,1,81,0.5788,0.4815
naive_persistence,1,81,0.728,0.7284
random_forest,1,81,0.7082,0.6914
xgboost,1,81,0.7173,0.642
ensemble,2,81,0.5806,0.5556
logreg,2,81,0.5269,0.5432
naive_majority,2,81,0.601,0.4815
naive_persistence,2,81,0.5549,0.5556
random_forest,2,81,0.5769,0.6049
xgboost,2,81,0.5983,0.4938
ensemble,3,81,0.5769,0.5556
logreg,3,81,0.4866,0.4938
naive_majority,3,81,0.5733,0.4815
naive_persistence,3,81,0.5549,0.5556
random_forest,3,81,0.5647,0.642
xgboost,3,81,0.5653,0.4691
