,0
pmi,0.8228
pmi_mom,0.4901
hs300_ret_lag1,0.4398
pmi_lag1,0.3926
hs300_ret,0.3903
ppi_yoy_mom,0.2976
hs300_vol,-0.2922
m2_yoy_lag1,0.2825
m2_yoy,0.2758
credit_yoy_lag1,0.2552
ip_yoy,0.2282
export_yoy_lag1,0.1921
m1_yoy_lag1,0.1864
m1_yoy,0.1847
ip_yoy_mom,0.1821
hs300_vol_lag1,-0.1707
ppi_yoy,0.1693
hs300_vol_mom,-0.1567
cpi_yoy,0.1497
export_yoy_mom,-0.1445
pmi_lag3,-0.1298
credit_yoy_mom,-0.1228
ip_yoy_lag1,0.1181
credit_yoy,0.1123
cpi_yoy_mom,0.1059
ppi_yoy_lag1,0.1042
pmi_lag2,0.0868
export_yoy,0.0739
m2_yoy_mom,-0.0413
m1_m2_gap,0.0381
hs300_ret_mom,-0.0373
m1_m2_gap_lag1,0.0353
cpi_yoy_lag1,0.0124
m1_m2_gap_mom,0.0077
m1_yoy_mom,-0.0075
