,0
pmi,0.1986
pmi_lag1,0.1045
pmi_lag2,0.0716
m1_yoy_lag1,0.0654
m1_yoy,0.0422
pmi_mom,0.0395
ip_yoy_lag1,0.0355
m1_m2_gap_lag1,0.0348
pmi_lag3,0.0335
ip_yoy,0.0335
hs300_ret_lag1,0.0289
ppi_yoy_lag1,0.025
m1_m2_gap,0.0232
hs300_vol,0.0226
ppi_yoy,0.0226
m2_yoy_lag1,0.0199
ppi_yoy_mom,0.0175
m2_yoy_mom,0.017
hs300_vol_lag1,0.0139
hs300_ret,0.0137
m2_yoy,0.0132
cpi_yoy,0.0129
m1_m2_gap_mom,0.0121
hs300_vol_mom,0.0108
m1_yoy_mom,0.0105
credit_yoy_lag1,0.0103
export_yoy,0.0093
credit_yoy,0.0089
ip_yoy_mom,0.0087
cpi_yoy_mom,0.008
hs300_ret_mom,0.0078
export_yoy_lag1,0.0068
cpi_yoy_lag1,0.0062
export_yoy_mom,0.0058
credit_yoy_mom,0.0051
