,0
pmi,0.09788
pmi_lag1,0.04531
pmi_lag2,0.03342
m1_yoy_lag1,0.03123
m1_yoy,0.01965
pmi_mom,0.01889
ip_yoy_lag1,0.017
ip_yoy,0.01672
pmi_lag3,0.01489
m1_m2_gap_lag1,0.01379
hs300_ret_lag1,0.01154
m1_m2_gap,0.01096
hs300_vol,0.00795
ppi_yoy_mom,0.00776
ppi_yoy_lag1,0.0076
hs300_ret,0.00722
ppi_yoy,0.00651
m2_yoy_lag1,0.006
m2_yoy_mom,0.00592
cpi_yoy,0.0055
hs300_vol_lag1,0.00467
m2_yoy,0.0044
hs300_vol_mom,0.00307
cpi_yoy_mom,0.00282
m1_m2_gap_mom,0.00277
credit_yoy_lag1,0.00265
ip_yoy_mom,0.00256
export_yoy_mom,0.00236
m1_yoy_mom,0.00215
credit_yoy,0.00207
export_yoy,0.00198
credit_yoy_mom,0.00166
hs300_ret_mom,0.0014
export_yoy_lag1,0.00133
cpi_yoy_lag1,0.00117
